2025-12-10T06:03:27.074642 7.87
2025-12-10T06:03:31.744318 subsystem_status: 7
2025-12-10T06:03:31.744818 flight_mode: 1
2025-12-10T06:03:31.744818 low_power_mode: 1
2025-12-10T06:03:31.748397 status_events: 0
2025-12-10T06:03:31.748897 acceleration: 10.0200
2025-12-10T06:03:31.752906 height_pressure: 7.70
2025-12-10T06:03:31.752906 height_gnss: 1.90
2025-12-10T06:03:31.756906 lat_gnss: 42.7958946
2025-12-10T06:03:31.756906 lon_gnss: -59.3605918
2025-12-10T06:03:31.760910 battery_voltage: 7.95
2025-12-10T06:03:31.760910 rssi: -56.00
2025-12-10T06:03:31.761414 time_since_last_packet: 125
2025-12-10T06:03:31.888122 temperature > 80 C: 42
2025-12-10T06:03:31.889124 subsystem_status: 6
2025-12-10T06:03:31.889623 flight_mode: 0
2025-12-10T06:03:31.892139 low_power_mode: 0
2025-12-10T06:03:31.892638 status_events: 1
2025-12-10T06:03:31.896138 acceleration: 18.5500
2025-12-10T06:03:31.896642 height_pressure: 27.50
2025-12-10T06:03:31.897643 height_gnss: 9.90
2025-12-10T06:03:31.900643 lat_gnss: 54.7041358
2025-12-10T06:03:31.901150 lon_gnss: 6.4835319
2025-12-10T06:03:31.904649 battery_voltage: 11.52
2025-12-10T06:03:31.905150 rssi: -97.00
2025-12-10T06:03:31.908112 time_since_last_packet: 126
2025-12-10T06:03:32.033943 temperature > 80 C: 48
2025-12-10T06:03:32.034448 subsystem_status: 1
2025-12-10T06:03:32.035446 flight_mode: 1
2025-12-10T06:03:32.035446 low_power_mode: 0
2025-12-10T06:03:32.035946 status_events: 5
2025-12-10T06:03:32.039483 acceleration: 15.8300
2025-12-10T06:03:32.039483 height_pressure: 6.30
2025-12-10T06:03:32.043508 height_gnss: 3.70
2025-12-10T06:03:32.044510 lat_gnss: 89.1168060
2025-12-10T06:03:32.047507 lon_gnss: 132.3513336
2025-12-10T06:03:32.048008 battery_voltage: 7.61
2025-12-10T06:03:32.048008 rssi: -47.00
2025-12-10T06:03:32.051512 time_since_last_packet: 125
2025-12-10T06:03:32.176610 temperature > 80 C: 89
2025-12-10T06:03:32.177117 subsystem_status: 7
2025-12-10T06:03:32.178617 flight_mode: 1
2025-12-10T06:03:32.179118 low_power_mode: 0
2025-12-10T06:03:32.182622 status_events: 8
2025-12-10T06:03:32.183122 acceleration: 7.8900
2025-12-10T06:03:32.186622 height_pressure: 19.60
2025-12-10T06:03:32.187122 height_gnss: 13.70
2025-12-10T06:03:32.187622 lat_gnss: 48.6692314
2025-12-10T06:03:32.191128 lon_gnss: 147.3976898
2025-12-10T06:03:32.191128 battery_voltage: 9.62
2025-12-10T06:03:32.195128 rssi: -52.00
2025-12-10T06:03:32.195128 time_since_last_packet: 126
2025-12-10T06:03:32.319846 temperature > 80 C: 36
2025-12-10T06:03:32.321860 subsystem_status: 2
2025-12-10T06:03:32.322359 flight_mode: 0
2025-12-10T06:03:32.322359 low_power_mode: 0
2025-12-10T06:03:32.326359 status_events: 14
2025-12-10T06:03:32.326359 acceleration: 6.0400
2025-12-10T06:03:32.329815 height_pressure: 0.30
2025-12-10T06:03:32.329815 height_gnss: 25.50
2025-12-10T06:03:32.334475 lat_gnss: -80.1882095
2025-12-10T06:03:32.334475 lon_gnss: 77.9973602
2025-12-10T06:03:32.338476 battery_voltage: 6.23
2025-12-10T06:03:32.338476 rssi: -40.00
2025-12-10T06:03:32.338976 time_since_last_packet: 125
2025-12-10T06:03:32.465492 temperature > 80 C: 50
2025-12-10T06:03:32.465995 subsystem_status: 5
2025-12-10T06:03:32.466494 flight_mode: 1
2025-12-10T06:03:32.469492 low_power_mode: 0
2025-12-10T06:03:32.469492 status_events: 9
2025-12-10T06:03:32.473512 acceleration: 16.4000
2025-12-10T06:03:32.474013 height_pressure: 17.30
2025-12-10T06:03:32.474513 height_gnss: 16.20
2025-12-10T06:03:32.478012 lat_gnss: 26.4724006
2025-12-10T06:03:32.478012 lon_gnss: 79.2317199
2025-12-10T06:03:32.482020 battery_voltage: 7.92
2025-12-10T06:03:32.482521 rssi: -79.00
2025-12-10T06:03:32.486020 time_since_last_packet: 125
2025-12-10T06:03:32.611394 temperature > 80 C: 26
2025-12-10T06:03:32.611892 subsystem_status: 1
2025-12-10T06:03:32.612897 flight_mode: 1
2025-12-10T06:03:32.613398 low_power_mode: 0
2025-12-10T06:03:32.613899 status_events: 7
2025-12-10T06:03:32.617017 acceleration: 1.0500
2025-12-10T06:03:32.617523 height_pressure: 2.10
2025-12-10T06:03:32.621180 height_gnss: 28.30
2025-12-10T06:03:32.622180 lat_gnss: -73.4256896
2025-12-10T06:03:32.625180 lon_gnss: -120.1967697
2025-12-10T06:03:32.625680 battery_voltage: 7.15
2025-12-10T06:03:32.625680 rssi: -56.00
2025-12-10T06:03:32.629184 time_since_last_packet: 125
2025-12-10T06:03:32.753781 temperature > 80 C: 68
2025-12-10T06:03:32.754285 subsystem_status: 3
2025-12-10T06:03:32.765290 flight_mode: 1
2025-12-10T06:03:32.765794 low_power_mode: 1
2025-12-10T06:03:32.765794 status_events: 5
2025-12-10T06:03:32.766293 acceleration: 5.1500
2025-12-10T06:03:32.766293 height_pressure: 5.80
2025-12-10T06:03:32.766793 height_gnss: 13.00
2025-12-10T06:03:32.767293 lat_gnss: -7.4145398
2025-12-10T06:03:32.768585 lon_gnss: 138.6885833
2025-12-10T06:03:32.768585 battery_voltage: 8.59
2025-12-10T06:03:32.772299 rssi: -39.00
2025-12-10T06:03:32.772800 time_since_last_packet: 125
2025-12-10T06:03:32.898748 temperature > 80 C: 27
2025-12-10T06:03:32.899749 subsystem_status: 1
2025-12-10T06:03:32.899749 flight_mode: 0
2025-12-10T06:03:32.899749 low_power_mode: 1
2025-12-10T06:03:32.903756 status_events: 5
2025-12-10T06:03:32.904255 acceleration: 7.7600
2025-12-10T06:03:32.907756 height_pressure: 11.10
2025-12-10T06:03:32.907756 height_gnss: 29.50
2025-12-10T06:03:32.911772 lat_gnss: -89.6048736
2025-12-10T06:03:32.912272 lon_gnss: 120.8054962
2025-12-10T06:03:32.916124 battery_voltage: 10.44
2025-12-10T06:03:32.916124 rssi: -44.00
2025-12-10T06:03:32.919741 time_since_last_packet: 126
2025-12-10T06:03:33.044598 temperature > 80 C: 68
2025-12-10T06:03:33.045109 subsystem_status: 6
2025-12-10T06:03:33.045608 flight_mode: 0
2025-12-10T06:03:33.047106 low_power_mode: 0
2025-12-10T06:03:33.047607 status_events: 13
2025-12-10T06:03:33.051111 acceleration: 1.5600
2025-12-10T06:03:33.051613 height_pressure: 15.40
2025-12-10T06:03:33.055124 height_gnss: 11.20
2025-12-10T06:03:33.055624 lat_gnss: -2.7302849
2025-12-10T06:03:33.056124 lon_gnss: 169.3355102
2025-12-10T06:03:33.059238 battery_voltage: 6.92
2025-12-10T06:03:33.059739 rssi: -64.00
2025-12-10T06:03:33.063246 time_since_last_packet: 126
2025-12-10T06:03:33.188077 temperature > 80 C: 20
2025-12-10T06:03:33.188580 subsystem_status: 4
2025-12-10T06:03:33.190582 flight_mode: 0
2025-12-10T06:03:33.190582 low_power_mode: 0
2025-12-10T06:03:33.191086 status_events: 2
2025-12-10T06:03:33.194585 acceleration: 11.6000
2025-12-10T06:03:33.195084 height_pressure: 19.20
2025-12-10T06:03:33.198585 height_gnss: 1.10
2025-12-10T06:03:33.199085 lat_gnss: -30.6437721
2025-12-10T06:03:33.202603 lon_gnss: -131.5394897
2025-12-10T06:03:33.203102 battery_voltage: 11.15
2025-12-10T06:03:33.206602 rssi: -63.00
2025-12-10T06:03:33.207102 time_since_last_packet: 125
2025-12-10T06:03:33.332545 temperature > 80 C: 80
2025-12-10T06:03:33.334045 subsystem_status: 0
2025-12-10T06:03:33.334045 flight_mode: 0
2025-12-10T06:03:33.334544 low_power_mode: 1
2025-12-10T06:03:33.338044 status_events: 5
2025-12-10T06:03:33.338044 acceleration: 4.3000
2025-12-10T06:03:33.342050 height_pressure: 20.00
2025-12-10T06:03:33.342550 height_gnss: 21.90
2025-12-10T06:03:33.346057 lat_gnss: -71.4746551
2025-12-10T06:03:33.346559 lon_gnss: 128.9446105
2025-12-10T06:03:33.349557 battery_voltage: 5.61
2025-12-10T06:03:33.350559 rssi: -51.00
2025-12-10T06:03:33.350559 time_since_last_packet: 125
2025-12-10T06:03:33.475911 temperature > 80 C: 39
2025-12-10T06:03:33.477415 subsystem_status: 1
2025-12-10T06:03:33.477415 flight_mode: 1
2025-12-10T06:03:33.481426 low_power_mode: 0
2025-12-10T06:03:33.481925 status_events: 12
2025-12-10T06:03:33.481925 acceleration: 0.7900
2025-12-10T06:03:33.485429 height_pressure: 14.80
2025-12-10T06:03:33.485928 height_gnss: 4.10
2025-12-10T06:03:33.489429 lat_gnss: 39.1688079
2025-12-10T06:03:33.489929 lon_gnss: 107.6118316
