2025-12-10T05:07:09.314510 -130.1704101
2025-12-10T05:07:10.815514 acceleration: 14.3900
2025-12-10T05:07:10.816018 height_pressure: 418.20
2025-12-10T05:07:10.819517 height_gnss: 958.50
2025-12-10T05:07:10.820018 lat_gnss: 25.7471408
2025-12-10T05:07:10.823518 lon_gnss: 54.6719741
2025-12-10T05:07:10.824020 battery_voltage: 9.56
2025-12-10T05:07:10.827524 rssi: -58.00
2025-12-10T05:07:10.828024 time_since_last_packet: 126
2025-12-10T05:07:10.953606 temperature > 80 C: 61
2025-12-10T05:07:10.954612 subsystem_status: 7
2025-12-10T05:07:10.955619 flight_mode: 0
2025-12-10T05:07:10.956126 low_power_mode: 0
2025-12-10T05:07:10.958623 status_events: 113
2025-12-10T05:07:10.959624 acceleration: 14.1500
2025-12-10T05:07:10.962624 height_pressure: 131.40
2025-12-10T05:07:10.963624 height_gnss: 208.20
2025-12-10T05:07:10.966654 lat_gnss: 86.5084457
2025-12-10T05:07:10.967661 lon_gnss: -58.1158561
2025-12-10T05:07:10.970792 battery_voltage: 7.86
2025-12-10T05:07:10.971293 rssi: -42.00
2025-12-10T05:07:10.974639 time_since_last_packet: 126
2025-12-10T05:07:11.100811 temperature > 80 C: 80
2025-12-10T05:07:11.101314 subsystem_status: 6
2025-12-10T05:07:11.101814 flight_mode: 1
2025-12-10T05:07:11.102314 low_power_mode: 0
2025-12-10T05:07:11.102814 status_events: 94
2025-12-10T05:07:11.105826 acceleration: 12.8000
2025-12-10T05:07:11.105826 height_pressure: 640.40
2025-12-10T05:07:11.110402 height_gnss: 49.40
2025-12-10T05:07:11.110903 lat_gnss: 44.1681137
2025-12-10T05:07:11.111404 lon_gnss: 27.9859828
2025-12-10T05:07:11.114404 battery_voltage: 10.15
2025-12-10T05:07:11.114903 rssi: -72.00
2025-12-10T05:07:11.118409 time_since_last_packet: 125
2025-12-10T05:07:11.244419 temperature > 80 C: 50
2025-12-10T05:07:11.244919 subsystem_status: 6
2025-12-10T05:07:11.245923 flight_mode: 1
2025-12-10T05:07:11.246430 low_power_mode: 0
2025-12-10T05:07:11.247429 status_events: 245
2025-12-10T05:07:11.258968 acceleration: 1.4800
2025-12-10T05:07:11.259966 height_pressure: 775.50
2025-12-10T05:07:11.260465 height_gnss: 667.10
2025-12-10T05:07:11.260965 lat_gnss: 54.4743766
2025-12-10T05:07:11.261465 lon_gnss: -2.2607829
2025-12-10T05:07:11.261965 battery_voltage: 6.53
2025-12-10T05:07:11.262465 rssi: -81.00
2025-12-10T05:07:11.262965 time_since_last_packet: 126
2025-12-10T05:07:11.389123 temperature > 80 C: 42
2025-12-10T05:07:11.390124 subsystem_status: 4
2025-12-10T05:07:11.391123 flight_mode: 1
2025-12-10T05:07:11.391623 low_power_mode: 0
2025-12-10T05:07:11.393123 status_events: 123
2025-12-10T05:07:11.393624 acceleration: 10.6400
2025-12-10T05:07:11.397128 height_pressure: 484.10
2025-12-10T05:07:11.397631 height_gnss: 707.40
2025-12-10T05:07:11.401128 lat_gnss: 57.4199867
2025-12-10T05:07:11.401630 lon_gnss: 112.5162277
2025-12-10T05:07:11.404629 battery_voltage: 8.68
2025-12-10T05:07:11.405632 rssi: -85.00
2025-12-10T05:07:11.409140 time_since_last_packet: 125
2025-12-10T05:07:11.533887 temperature > 80 C: 20
2025-12-10T05:07:11.534894 subsystem_status: 5
2025-12-10T05:07:11.534894 flight_mode: 0
2025-12-10T05:07:11.536400 low_power_mode: 0
2025-12-10T05:07:11.536901 status_events: 143
2025-12-10T05:07:11.540412 acceleration: 7.5100
2025-12-10T05:07:11.540904 height_pressure: 586.50
2025-12-10T05:07:11.544405 height_gnss: 270.10
2025-12-10T05:07:11.544906 lat_gnss: 53.1399002
2025-12-10T05:07:11.548415 lon_gnss: 163.2720336
2025-12-10T05:07:11.548916 battery_voltage: 9.46
2025-12-10T05:07:11.549416 rssi: -86.00
2025-12-10T05:07:11.552446 time_since_last_packet: 125
2025-12-10T05:07:11.678970 temperature > 80 C: 86
2025-12-10T05:07:11.679473 subsystem_status: 7
2025-12-10T05:07:11.679973 flight_mode: 0
2025-12-10T05:07:11.680474 low_power_mode: 0
2025-12-10T05:07:11.680973 status_events: 209
2025-12-10T05:07:11.691481 acceleration: 3.0000
2025-12-10T05:07:11.691984 height_pressure: 981.40
2025-12-10T05:07:11.692484 height_gnss: 250.80
2025-12-10T05:07:11.692984 lat_gnss: 14.1850786
2025-12-10T05:07:11.693484 lon_gnss: -81.9831542
2025-12-10T05:07:11.693484 battery_voltage: 6.05
2025-12-10T05:07:11.695993 rssi: -95.00
2025-12-10T05:07:11.696501 time_since_last_packet: 126
2025-12-10T05:07:11.822703 temperature > 80 C: 46
2025-12-10T05:07:11.823712 subsystem_status: 3
2025-12-10T05:07:11.824205 flight_mode: 0
2025-12-10T05:07:11.824703 low_power_mode: 0
2025-12-10T05:07:11.827293 status_events: 124
2025-12-10T05:07:11.827793 acceleration: 7.4600
2025-12-10T05:07:11.831210 height_pressure: 28.60
2025-12-10T05:07:11.831710 height_gnss: 517.20
2025-12-10T05:07:11.834709 lat_gnss: 75.4839096
2025-12-10T05:07:11.835711 lon_gnss: -140.9241638
2025-12-10T05:07:11.839214 battery_voltage: 7.02
2025-12-10T05:07:11.839715 rssi: -45.00
2025-12-10T05:07:11.843214 time_since_last_packet: 125
2025-12-10T05:07:12.759415 temperature > 80 C: 50
2025-12-10T05:07:17.853829 -94.0097427
2025-12-10T05:07:17.854829 battery_voltage: 10.11
2025-12-10T05:07:17.855329 rssi: -69.00
2025-12-10T05:07:17.855329 time_since_last_packet: 126
2025-12-10T05:07:17.855329 ht_gnss: 896.80
2025-12-10T05:07:17.856333 lat_gnss: 1.6735680
2025-12-10T05:07:17.856333 lon_gnss: -94.0097427
2025-12-10T05:07:17.856837 battery_voltage: 10.11
2025-12-10T05:07:17.856837 rssi: -69.00
2025-12-10T05:07:17.857337 time_since_last_packet: 126
2025-12-10T05:07:17.857337 ht_gnss: 896.80
2025-12-10T05:07:17.857837 lat_gnss: 1.6735680
2025-12-10T05:07:17.857837 lon_gnss: -94.0097427
2025-12-10T05:07:17.858337 battery_voltage: 10.11
2025-12-10T05:07:17.858337 rssi: -69.00
2025-12-10T05:07:17.858337 time_since_last_packet: 126
2025-12-10T05:07:18.756091 temperature > 80 C: 34
2025-12-10T05:07:18.758093 subsystem_status: 6
2025-12-10T05:07:18.758594 flight_mode: 0
2025-12-10T05:07:18.762326 low_power_mode: 0
2025-12-10T05:07:18.762827 status_events: 171
2025-12-10T05:07:18.762827 acceleration: 7.4300
2025-12-10T05:07:18.766348 height_pressure: 53.40
2025-12-10T05:07:18.766852 height_gnss: 737.60
2025-12-10T05:07:18.770653 lat_gnss: -1.5873839
2025-12-10T05:07:18.771153 lon_gnss: -164.0896759
2025-12-10T05:07:18.774653 battery_voltage: 6.73
2025-12-10T05:07:18.775154 rssi: -45.00
2025-12-10T05:07:18.778660 time_since_last_packet: 125
2025-12-10T05:07:18.905045 temperature > 80 C: 22
2025-12-10T05:07:18.905547 subsystem_status: 1
2025-12-10T05:07:18.907061 flight_mode: 0
2025-12-10T05:07:18.908066 low_power_mode: 0
2025-12-10T05:07:18.908565 status_events: 91
2025-12-10T05:07:18.910064 acceleration: 0.2000
2025-12-10T05:07:18.910564 height_pressure: 980.70
2025-12-10T05:07:18.913847 height_gnss: 255.70
2025-12-10T05:07:18.914345 lat_gnss: 66.5541381
2025-12-10T05:07:18.917984 lon_gnss: 160.9884338
2025-12-10T05:07:18.918991 battery_voltage: 9.71
2025-12-10T05:07:18.919992 rssi: -83.00
2025-12-10T05:07:18.922141 time_since_last_packet: 125
2025-12-10T05:07:19.047468 temperature > 80 C: 37
2025-12-10T05:07:19.047972 subsystem_status: 4
2025-12-10T05:07:19.048972 flight_mode: 0
2025-12-10T05:07:19.049471 low_power_mode: 0
2025-12-10T05:07:19.053108 status_events: 197
2025-12-10T05:07:19.053609 acceleration: 5.9900
2025-12-10T05:07:19.057133 height_pressure: 908.30
2025-12-10T05:07:19.057634 height_gnss: 379.00
2025-12-10T05:07:19.058138 lat_gnss: -65.1871871
2025-12-10T05:07:19.068647 lon_gnss: 9.7611379
2025-12-10T05:07:19.069151 battery_voltage: 11.82
2025-12-10T05:07:19.069650 rssi: -41.00
2025-12-10T05:07:19.070150 time_since_last_packet: 126
2025-12-10T05:07:19.195299 temperature > 80 C: 28
2025-12-10T05:07:19.195299 subsystem_status: 4
2025-12-10T05:07:19.196345 flight_mode: 1
2025-12-10T05:07:19.196850 low_power_mode: 1
2025-12-10T05:07:19.197350 status_events: 35
2025-12-10T05:07:19.197850 acceleration: 12.9100
2025-12-10T05:07:19.200854 height_pressure: 964.20
2025-12-10T05:07:19.201355 height_gnss: 81.00
2025-12-10T05:07:19.204819 lat_gnss: 79.3301544
2025-12-10T05:07:19.205326 lon_gnss: -75.7352447
2025-12-10T05:07:19.209008 battery_voltage: 11.69
2025-12-10T05:07:19.209508 rssi: -35.00
2025-12-10T05:07:19.212508 time_since_last_packet: 126
2025-12-10T05:07:19.337369 temperature > 80 C: 62
2025-12-10T05:07:19.337874 subsystem_status: 1
2025-12-10T05:07:19.338373 flight_mode: 1
2025-12-10T05:07:19.339873 low_power_mode: 0
2025-12-10T05:07:19.340373 status_events: 133
2025-12-10T05:07:19.343873 acceleration: 18.3100
2025-12-10T05:07:19.344873 height_pressure: 359.70
2025-12-10T05:07:19.348382 height_gnss: 410.00
2025-12-10T05:07:19.348881 lat_gnss: 69.4511566
2025-12-10T05:07:19.352381 lon_gnss: 109.4943695
2025-12-10T05:07:19.352881 battery_voltage: 10.07
2025-12-10T05:07:19.353380 rssi: -52.00
2025-12-10T05:07:19.356388 time_since_last_packet: 126
2025-12-10T05:07:20.250693 temperature > 80 C: 35
2025-12-10T05:08:07.967071 mperature > 80 C: 74
2025-12-10T05:08:07.967571 ss: 49.0131835
2025-12-10T05:08:07.968070 lon_gnss: 99.8255844
2025-12-10T05:08:07.968070 battery_voltage: 8.76
2025-12-10T05:08:07.968571 rssi: -84.00
2025-12-10T05:08:07.968571 time_since_last_packet: 125
2025-12-10T05:08:07.969071 temperature > 80 C: 74
2025-12-10T05:08:07.969571 lon_gnss: 99.8255844
2025-12-10T05:08:07.969571 battery_voltage: 8.76
2025-12-10T05:08:07.969571 rssi: -84.00
2025-12-10T05:08:07.969571 time_since_last_packet: 125
2025-12-10T05:08:07.969571 temperature > 80 C: 74
2025-12-10T05:08:07.970573 lon_gnss: 99.8255844
2025-12-10T05:08:07.970573 battery_voltage: 8.76
2025-12-10T05:08:07.971075 rssi: -84.00
2025-12-10T05:08:07.971075 time_since_last_packet: 125
2025-12-10T05:08:07.971576 temperature > 80 C: 74
2025-12-10T05:08:08.871143 subsystem_status: 2
2025-12-10T05:08:08.874149 flight_mode: 1
2025-12-10T05:08:08.875157 low_power_mode: 1
2025-12-10T05:08:08.876153 status_events: 35
2025-12-10T05:08:08.878150 acceleration: 5.7400
2025-12-10T05:08:08.878650 height_pressure: 790.20
2025-12-10T05:08:08.882083 height_gnss: 203.60
2025-12-10T05:08:08.882584 lat_gnss: -82.9538574
2025-12-10T05:08:08.886251 lon_gnss: -103.3518676
2025-12-10T05:08:08.886750 battery_voltage: 11.47
2025-12-10T05:08:08.886750 rssi: -56.00
2025-12-10T05:08:08.889749 time_since_last_packet: 126
2025-12-10T05:08:09.015982 temperature > 80 C: 46
2025-12-10T05:08:09.016988 subsystem_status: 0
2025-12-10T05:08:09.017489 flight_mode: 1
2025-12-10T05:08:09.017489 low_power_mode: 1
2025-12-10T05:08:09.021014 status_events: 40
2025-12-10T05:08:09.021513 acceleration: 11.4700
2025-12-10T05:08:09.025514 height_pressure: 197.10
2025-12-10T05:08:09.025514 height_gnss: 694.20
2025-12-10T05:08:09.029514 lat_gnss: -62.9780731
2025-12-10T05:08:09.030517 lon_gnss: -45.9810523
2025-12-10T05:08:09.033549 battery_voltage: 8.41
2025-12-10T05:08:09.033549 rssi: -62.00
2025-12-10T05:08:09.034052 time_since_last_packet: 125
2025-12-10T05:08:09.159423 temperature > 80 C: 40
2025-12-10T05:08:09.170183 subsystem_status: 0
2025-12-10T05:08:09.170687 flight_mode: 1
2025-12-10T05:08:09.170687 low_power_mode: 1
2025-12-10T05:08:09.171186 status_events: 247
2025-12-10T05:08:09.171186 acceleration: 4.1500
2025-12-10T05:08:09.171690 height_pressure: 854.70
2025-12-10T05:08:09.171690 height_gnss: 598.90
2025-12-10T05:08:09.172689 lat_gnss: 27.6086769
2025-12-10T05:08:09.173190 lon_gnss: 42.6118888
2025-12-10T05:08:09.177190 battery_voltage: 9.39
2025-12-10T05:08:09.177190 rssi: -97.00
2025-12-10T05:08:09.180694 time_since_last_packet: 126
2025-12-10T05:08:09.307132 temperature > 80 C: 52
2025-12-10T05:08:09.307631 subsystem_status: 6
2025-12-10T05:08:09.308131 flight_mode: 0
2025-12-10T05:08:09.308131 low_power_mode: 1
2025-12-10T05:08:09.308632 status_events: 201
2025-12-10T05:08:09.312138 acceleration: 1.3000
2025-12-10T05:08:09.312638 height_pressure: 440.70
2025-12-10T05:08:09.316138 height_gnss: 242.00
2025-12-10T05:08:09.316638 lat_gnss: -77.9011764
2025-12-10T05:08:09.319639 lon_gnss: -45.1721839
2025-12-10T05:08:09.320643 battery_voltage: 10.45
2025-12-10T05:08:09.324204 rssi: -74.00
2025-12-10T05:08:09.324703 time_since_last_packet: 126
2025-12-10T05:08:09.449676 temperature > 80 C: 35
2025-12-10T05:08:09.451603 subsystem_status: 0
2025-12-10T05:08:09.452102 flight_mode: 0
2025-12-10T05:08:09.452102 low_power_mode: 0
2025-12-10T05:08:09.455601 status_events: 176
2025-12-10T05:08:09.456101 acceleration: 5.3700
2025-12-10T05:08:09.459602 height_pressure: 594.80
2025-12-10T05:08:09.459602 height_gnss: 139.10
2025-12-10T05:08:09.463614 lat_gnss: -23.7647094
2025-12-10T05:08:09.464616 lon_gnss: 74.0976638
2025-12-10T05:08:09.467807 battery_voltage: 10.07
2025-12-10T05:08:09.468133 rssi: -67.00
2025-12-10T05:08:09.468631 time_since_last_packet: 126
2025-12-10T05:08:09.595325 temperature > 80 C: 20
2025-12-10T05:08:09.595825 subsystem_status: 1
2025-12-10T05:08:09.596325 flight_mode: 0
2025-12-10T05:08:09.599325 low_power_mode: 0
2025-12-10T05:08:09.599829 status_events: 155
2025-12-10T05:08:09.602841 acceleration: 3.6400
2025-12-10T05:08:09.603841 height_pressure: 562.90
2025-12-10T05:08:09.606841 height_gnss: 935.20
2025-12-10T05:08:09.607842 lat_gnss: 76.3571853
2025-12-10T05:08:09.608843 lon_gnss: 69.6482315
2025-12-10T05:08:09.611361 battery_voltage: 10.67
2025-12-10T05:08:09.611361 rssi: -100.00
2025-12-10T05:08:09.614861 time_since_last_packet: 126
2025-12-10T05:08:09.741186 temperature > 80 C: 76
2025-12-10T05:08:09.741685 subsystem_status: 2
2025-12-10T05:08:09.742185 flight_mode: 1
2025-12-10T05:08:09.742686 low_power_mode: 0
2025-12-10T05:08:09.742686 status_events: 56
2025-12-10T05:08:09.746186 acceleration: 6.3500
2025-12-10T05:08:09.746686 height_pressure: 214.40
2025-12-10T05:08:09.750688 height_gnss: 159.00
2025-12-10T05:08:09.750688 lat_gnss: -8.7389698
2025-12-10T05:08:09.754583 lon_gnss: -71.3605041
2025-12-10T05:08:09.755088 battery_voltage: 8.23
2025-12-10T05:08:09.758587 rssi: -40.00
2025-12-10T05:08:09.759088 time_since_last_packet: 126
2025-12-10T05:08:09.884632 temperature > 80 C: 66
2025-12-10T05:08:09.885639 subsystem_status: 1
2025-12-10T05:08:09.886140 flight_mode: 0
2025-12-10T05:08:09.886140 low_power_mode: 1
2025-12-10T05:08:09.889640 status_events: 82
2025-12-10T05:08:09.889640 acceleration: 19.3300
2025-12-10T05:08:09.894149 height_pressure: 113.50
2025-12-10T05:08:09.894149 height_gnss: 190.00
2025-12-10T05:08:09.898150 lat_gnss: 51.0970153
2025-12-10T05:08:09.899151 lon_gnss: 157.9585723
2025-12-10T05:08:09.902160 battery_voltage: 11.00
2025-12-10T05:08:09.902660 rssi: -59.00
2025-12-10T05:08:09.905594 time_since_last_packet: 126
2025-12-10T05:08:10.032342 temperature > 80 C: 39
2025-12-10T05:08:10.032846 subsystem_status: 2
2025-12-10T05:08:10.032846 flight_mode: 1
2025-12-10T05:08:10.033346 low_power_mode: 0
2025-12-10T05:08:10.033346 status_events: 232
2025-12-10T05:08:10.037386 acceleration: 12.2500
2025-12-10T05:08:10.037386 height_pressure: 76.50
2025-12-10T05:08:10.041034 height_gnss: 588.90
2025-12-10T05:08:10.041537 lat_gnss: -55.6278152
2025-12-10T05:08:10.042037 lon_gnss: 3.2372760
2025-12-10T05:08:10.045537 battery_voltage: 8.44
2025-12-10T05:08:10.045537 rssi: -46.00
2025-12-10T05:08:10.049038 time_since_last_packet: 125
2025-12-10T05:08:10.174930 temperature > 80 C: 68
2025-12-10T05:08:10.175929 subsystem_status: 7
2025-12-10T05:08:10.176429 flight_mode: 1
2025-12-10T05:08:10.176931 low_power_mode: 0
2025-12-10T05:08:10.177429 status_events: 57
2025-12-10T05:08:10.180950 acceleration: 19.3900
2025-12-10T05:08:10.181460 height_pressure: 823.40
2025-12-10T05:08:10.184806 height_gnss: 549.10
2025-12-10T05:08:10.185306 lat_gnss: 54.3081893
2025-12-10T05:08:10.188813 lon_gnss: -103.4570388
2025-12-10T05:08:10.189807 battery_voltage: 9.06
2025-12-10T05:08:10.192816 rssi: -44.00
2025-12-10T05:08:10.193317 time_since_last_packet: 125
2025-12-10T05:08:10.318724 temperature > 80 C: 53
2025-12-10T05:08:10.319870 subsystem_status: 2
2025-12-10T05:08:10.320895 flight_mode: 0
2025-12-10T05:08:10.321412 low_power_mode: 1
2025-12-10T05:08:10.324427 status_events: 111
2025-12-10T05:08:10.324930 acceleration: 19.4200
2025-12-10T05:08:10.328429 height_pressure: 755.70
2025-12-10T05:08:10.328853 height_gnss: 828.50
2025-12-10T05:08:10.332454 lat_gnss: 28.6487731
2025-12-10T05:08:10.333455 lon_gnss: -25.2306442
2025-12-10T05:08:10.335947 battery_voltage: 9.38
2025-12-10T05:08:10.336459 rssi: -37.00
2025-12-10T05:08:10.339959 time_since_last_packet: 125
2025-12-10T05:08:10.466026 temperature > 80 C: 70
2025-12-10T05:08:10.467027 subsystem_status: 5
2025-12-10T05:08:10.467526 flight_mode: 1
2025-12-10T05:08:10.468026 low_power_mode: 0
2025-12-10T05:08:10.468526 status_events: 171
2025-12-10T05:08:10.471546 acceleration: 17.6900
2025-12-10T05:08:10.472558 height_pressure: 65.10
2025-12-10T05:08:10.475555 height_gnss: 746.90
2025-12-10T05:08:10.476055 lat_gnss: 88.3888168
2025-12-10T05:08:10.479750 lon_gnss: 52.8903846
2025-12-10T05:08:10.479750 battery_voltage: 5.40
2025-12-10T05:08:10.480755 rssi: -67.00
2025-12-10T05:08:10.483761 time_since_last_packet: 125
2025-12-10T05:08:10.609304 temperature > 80 C: 38
2025-12-10T05:08:10.609812 subsystem_status: 1
2025-12-10T05:08:10.610816 flight_mode: 0
2025-12-10T05:08:10.611321 low_power_mode: 0
2025-12-10T05:08:10.611321 status_events: 43
2025-12-10T05:08:10.622199 acceleration: 10.3300
2025-12-10T05:08:10.622703 height_pressure: 254.30
2025-12-10T05:08:10.623202 height_gnss: 866.50
2025-12-10T05:08:10.623202 lat_gnss: 31.3392124
2025-12-10T05:08:10.623703 lon_gnss: -79.7539520
2025-12-10T05:08:10.624202 battery_voltage: 5.80
2025-12-10T05:08:10.626703 rssi: -96.00
2025-12-10T05:08:10.627204 time_since_last_packet: 125
2025-12-10T05:08:10.752842 temperature > 80 C: 52
2025-12-10T05:08:10.753845 subsystem_status: 7
2025-12-10T05:08:10.754346 flight_mode: 1
2025-12-10T05:08:10.754346 low_power_mode: 0
2025-12-10T05:08:10.758345 status_events: 70
2025-12-10T05:08:10.758345 acceleration: 4.8500
2025-12-10T05:08:10.762262 height_pressure: 407.30
2025-12-10T05:08:10.762262 height_gnss: 160.40
2025-12-10T05:08:10.766354 lat_gnss: -23.3901901
2025-12-10T05:08:10.767354 lon_gnss: 101.7457351
2025-12-10T05:08:10.769853 battery_voltage: 5.32
2025-12-10T05:08:10.770856 rssi: -46.00
2025-12-10T05:08:10.774378 time_since_last_packet: 126
2025-12-10T05:08:10.899975 temperature > 80 C: 75
2025-12-10T05:08:10.901066 subsystem_status: 3
2025-12-10T05:08:10.901574 flight_mode: 0
2025-12-10T05:08:10.902073 low_power_mode: 1
2025-12-10T05:08:10.902572 status_events: 150
2025-12-10T05:08:10.905656 acceleration: 14.4300
2025-12-10T05:08:10.906656 height_pressure: 548.80
2025-12-10T05:08:10.909655 height_gnss: 523.90
2025-12-10T05:08:10.910661 lat_gnss: -42.6864509
2025-12-10T05:08:10.913666 lon_gnss: 89.8686523
2025-12-10T05:08:10.914668 battery_voltage: 11.08
2025-12-10T05:08:10.915168 rssi: -56.00
2025-12-10T05:08:10.918167 time_since_last_packet: 126
2025-12-10T05:08:11.043970 temperature > 80 C: 84
2025-12-10T05:08:11.044472 subsystem_status: 0
2025-12-10T05:08:11.044972 flight_mode: 1
2025-12-10T05:08:11.044972 low_power_mode: 1
2025-12-10T05:08:11.048972 status_events: 122
2025-12-10T05:08:11.048972 acceleration: 14.5500
2025-12-10T05:08:11.052995 height_pressure: 149.20
2025-12-10T05:08:11.053499 height_gnss: 72.80
2025-12-10T05:08:11.053499 lat_gnss: -17.2944831
2025-12-10T05:08:11.057498 lon_gnss: -12.8476047
2025-12-10T05:08:11.057498 battery_voltage: 8.90
2025-12-10T05:08:11.061009 rssi: -65.00
2025-12-10T05:08:11.061517 time_since_last_packet: 125
2025-12-10T05:08:11.186251 temperature > 80 C: 35
2025-12-10T05:08:11.188254 subsystem_status: 3
2025-12-10T05:08:11.188755 flight_mode: 1
2025-12-10T05:08:11.192261 low_power_mode: 0
2025-12-10T05:08:11.192761 status_events: 179
2025-12-10T05:08:11.192761 acceleration: 2.1600
2025-12-10T05:08:11.196431 height_pressure: 714.90
2025-12-10T05:08:11.196933 height_gnss: 721.40
2025-12-10T05:08:11.199931 lat_gnss: -15.0116729
2025-12-10T05:08:11.200935 lon_gnss: -115.8733444
2025-12-10T05:08:11.204888 battery_voltage: 10.00
2025-12-10T05:08:11.204888 rssi: -31.00
2025-12-10T05:08:11.208386 time_since_last_packet: 125
2025-12-10T05:08:11.333498 temperature > 80 C: 40
2025-12-10T05:08:11.334002 subsystem_status: 0
2025-12-10T05:08:11.335803 flight_mode: 0
2025-12-10T05:08:11.335803 low_power_mode: 1
2025-12-10T05:08:11.336303 status_events: 144
2025-12-10T05:08:11.339811 acceleration: 13.9500
2025-12-10T05:08:11.340365 height_pressure: 284.60
2025-12-10T05:08:11.343869 height_gnss: 159.30
2025-12-10T05:08:11.344369 lat_gnss: 45.5206069
2025-12-10T05:08:11.347869 lon_gnss: 32.5402870
2025-12-10T05:08:11.348371 battery_voltage: 7.41
2025-12-10T05:08:11.348870 rssi: -89.00
2025-12-10T05:08:11.352298 time_since_last_packet: 126
2025-12-10T05:08:11.478724 temperature > 80 C: 68
2025-12-10T05:08:11.479224 subsystem_status: 1
2025-12-10T05:08:11.479224 flight_mode: 0
2025-12-10T05:08:11.479724 low_power_mode: 0
2025-12-10T05:08:11.483221 status_events: 153
2025-12-10T05:08:11.483724 acceleration: 17.3400
2025-12-10T05:08:11.487476 height_pressure: 770.90
2025-12-10T05:08:11.487476 height_gnss: 911.30
2025-12-10T05:08:11.491498 lat_gnss: -45.0136947
2025-12-10T05:08:11.491996 lon_gnss: 144.6417388
2025-12-10T05:08:11.495496 battery_voltage: 9.10
2025-12-10T05:08:11.496000 rssi: -45.00
2025-12-10T05:08:11.496497 time_since_last_packet: 125
2025-12-10T05:08:11.623126 temperature > 80 C: 88
2025-12-10T05:08:11.623626 subsystem_status: 4
2025-12-10T05:08:11.624126 flight_mode: 0
2025-12-10T05:08:11.626627 low_power_mode: 0
2025-12-10T05:08:11.627125 status_events: 206
2025-12-10T05:08:11.630125 acceleration: 7.3800
2025-12-10T05:08:11.630125 height_pressure: 496.60
2025-12-10T05:08:11.631127 height_gnss: 391.60
2025-12-10T05:08:11.634633 lat_gnss: 69.4130172
2025-12-10T05:08:11.635130 lon_gnss: 12.8331670
2025-12-10T05:08:11.638888 battery_voltage: 8.46
2025-12-10T05:08:11.638888 rssi: -63.00
